gv,bv,pw,positive,negative
0,-20,90,[0.005251470021903515 1 0.03894301876425743 0.004818890709429979 5.07971053593792e-05 1.809133323149581e-06],[0.005921909119933844 1 0.06381338089704514 0.007952234707772732 7.474359154002741e-05 1.7155950899905292e-06]
0,-20,100,[1 0.032413579523563385 0.00012469178182072937 2.5148814529529773e-05 1.9461679130472476e-06 0],[0.052466168999671936 0.8855750560760498 0.06331415474414825 0.05111079663038254 0.002891217591241002 9.321889956481755e-05]
0,-30,0,[1 6.869305070722476e-05 0 0 0 0],[6.005989689583657e-06 9.775812941370532e-06 0.00015682436060160398 0.06932321935892105 0.5190606713294983 0.4116160571575165]
0,-30,10,[0.8012022972106934 0.19879774749279022 0.00361554604023695 0.00046802900033071637 6.7326336647965945e-06 0],[2.1666114662366454e-06 0.0004755682894028723 0.036932434886693954 1 0.04142710566520691 4.258868284523487e-05]
0,-30,20,[0.42752739787101746 0.5724725723266602 0.01299529429525137 0.0014539548428729177 6.83834332448896e-06 0],[1.2466366570151877e-06 0.0003217634803149849 0.04639509692788124 1 0.014209123328328133 8.308355063491035e-06]
0,-30,30,[0.08966424316167831 0.9103357195854187 0.021380748599767685 0.002805512398481369 1.3712240615859628e-05 0],[2.1164289137232117e-05 0.07547944039106369 0.5195175409317017 0.4804824888706207 0.0016542937373742461 4.311464181228075e-06]
0,-30,40,[0.04075079411268234 1 0.032111771404743195 0.0022777116391807795 5.415443411038723e-06 0],[3.960259164159652e-06 0.013290610164403915 0.4590013027191162 0.5409986972808838 0.0006433931412175298 9.88064130069688e-07]
0,-30,50,[0.07530274987220764 0.9246972799301147 0.00983615592122078 0.000490837381221354 1.5370633263955824e-06 0],[2.523491275496781e-05 0.08360719680786133 0.6573807001113892 0.25901201367378235 0.0002907526504714042 9.85949895948579e-07]
0,-30,60,[0.0019439330790191889 1 0.062427204102277756 0.004769525025039911 1.169773440778954e-05 2.0779337717158342e-07],[5.948466059635393e-05 0.28710365295410156 0.6319549083709717 0.08094146102666855 0.00013579605729319155 8.060986829150352e-07]
0,-30,70,[0.0010527654085308313 0.9444617033004761 0.055538322776556015 0.008716423995792866 2.9879071007599123e-05 5.146255830368318e-07],[0.00029767569503746927 0.6402124762535095 0.35978755354881287 0.050821006298065186 0.00012579861504491419 1.1105191788374214e-06]
0,-30,80,[0.002326101530343294 1 0.06852749735116959 0.008331552147865295 4.6566481614718214e-05 9.890734418149805e-07],[0.001472134841606021 0.8429595828056335 0.15704037249088287 0.0342089906334877 0.00019428241648711264 2.520657062632381e-06]
0,-30,90,[0.0059663038700819016 1 0.04300001636147499 0.00607813335955143 6.199107156135142e-05 2.1167757040529978e-06],[0.004367276560515165 0.9363325238227844 0.06366744637489319 0.017455000430345535 0.00016329617938026786 3.6404051115823677e-06]
0,-30,100,[1 0.022651270031929016 0.0001127847281168215 2.577189661678858e-05 1.895908212645736e-06 0],[0.03228922560811043 0.5873909592628479 0.17151205241680145 0.24109695851802826 0.010640911757946014 0.00036604079650714993]
